File_Name,Content,Category
5D318599,an environment and algorithm for fms controller testing,icse
78F1E9FF,guest editorial introduction to the special section,icse
59A78C66,an approach to data communication between different generalized data base management systems,vldb
80A097D8,study on the effects of tilted angle for power generation of pv modules based on pareto chart,icse
5C472D5A,the idea of de clustering and its applications,vldb
585A374D,an integration architecture for user centric document creation retrieval and analysis,vldb
77958406,a collaboration based testing model for composite components,icse
7B2A30F8,fault comprehension for concurrent programs,icse
7D354E06,mining security sensitive operations in legacy code using concept analysis,icse
08AE4D4E,faloutsos the tv tree an index structure for high dimensional data,vldb
80A5C31E,tree indexing on solid state drives,vldb
7539F742,query processing in the aqualogic data services platform,vldb
7ACD3DE2,localized monitoring of knn queries in wireless sensor networks,vldb
7F520C9F,database compression on graphics processors,vldb
817DF2C7,the universal design solution for ajax based three tier architecture,icse
7E7C066B,position paper on technology transfer,icse
8017D060,helping users avoid bugs in gui applications,icse
6200693E,physical design of network model databases using the property of separability,vldb
7E4E2A57,a study on the relationship between supervisor s feedback and employees creativity the mediating effect of psychological capital,icse
7D58B315,interactive source registration in community oriented information integration,vldb
7AEB5E32,program comprehension using aspects,icse
7EB90389,a tale of four kernels,icse
5E92F3F5,the rufus system information organization for semi structured data,vldb
7E2AB252,on the production of anorexic plan diagrams,vldb
7FCEED10,experience with modularity in an advanced teleconferencing service deployment,icse
7D6E6927,characterization analysis of a novel approach in fabrication of cmos compatible vertical mosfets incorporating a dielectric pocket,icse
81B05FD1,predicting fruit maturity stage dynamically based on fuzzy recognition and color feature,icse
5B3053B2,the impact of mesa on system design,icse
58C7BA80,tp close mining frequent closed patterns in gene expression datasets,vldb
7B3505B7,creating a cognitive metric of programming task difficulty,icse
7DA195C1,schema based scheduling of event processors and buffer minimization for queries on structured data streams,vldb
769BBC89,a new algorithm based on incentive design in e commerce systems,icse
75F57C3F,communication problems in global software development spotlight on a new field of investigation,icse
5EBC4EB4,agora living with xml and relational,vldb
62190918,cache conscious algorithms for relational query processing,vldb
791CB25B,pctl stochastic model checking label extended probabilistic petri net system model,icse
7F469830,trust performance and innovation research in virtual team,icse
7C3DBF71,applying case based reasoning to software requirements specifications quality analysis system,icse
7B1D9C33,10 10 6 worlds and beyond efficient representation and processing of incomplete information,vldb
7CBE06AD,generating policy for software project management decision support paradigm,icse
5CE0A1D2,global software development with cloud platforms,icse
81827C0B,relevance ranking tuning for similarity queries on xml data,vldb
5F188205,qos based data access and placement for federated systems,vldb
8162148C,applications of corpus based semantic similarity and word segmentation to database schema matching,vldb
808290EA,framework based development and evaluation of cost based native xml query optimization techniques,vldb
7D881C5B,coverage is not strongly correlated with test suite effectiveness,icse
79C99223,mining behavior models from user intensive web applications,icse
7E4FECB9,moda multiple objective decision analysis balancing quality attributes in software architectures,icse
7F5AAC9B,detection of fungicide in water by zncdse quantum dots thin film,icse
7FE62705,fast evaluation techniques for complex similarity queries,vldb
7EE9708F,from data privacy to location privacy models and algorithms,vldb
59C23701,svp a model capturing sets lists streams and parallelism,vldb
5E20B602,proceedings of the 30th international conference on software engineering,icse
7F158155,database program conversion a framework for research,vldb
76745FC0,nema fast graph search with label similarity,vldb
7684E707,dementia and social sustainability challenges for software engineering,icse
5AD49BC6,querying continuous time sequences,vldb
7767A8C7,aosd and its application in development of safety critical systems,icse
76783944,selection on modern cpus,vldb
7C27BFB2,engineering the software requirements of nonprofits a service learning approach,icse
7F314CFB,a methodology for the abstraction of design components from the software requirement specification to the object oriented system,icse
809B5098,toddler detecting performance problems via similar memory access patterns,icse
0345D783,interactivity continuity sketching experience,icse
7DC004E1,p2p authority analysis for social communities,vldb
7A1B330B,defect prediction over software life cycle in automotive domain state of the art and road map for future,icse
7BF11F13,using semantic networks for data base management,vldb
805E23AF,new horizons in multicore software engineering,icse
75650D96,broken sets in software repository evolution,icse
5B62A23E,supporting efficient multimedia database exploration,vldb
811EE550,detecting attribute dependencies from query feedback,vldb
7CF27E74,requirements engineering in the year 00 a research perspective,icse
810CB32E,challenges and opportunities with big data,vldb
58E201BD,the spheresearch engine for unified ranked retrieval of heterogeneous xml and web documents,vldb
5C0B2FA6,managing text as data,vldb
753EDB4F,optimal clip ordering for multi clip queries,vldb
811FD9FC,four wave mixing in fibre ring laser with inclusion of photonic crystal fibre,icse
80CA6756,10 most powerful ideas in software engineering,icse
77E771B2,profiling kernels behavior to improve cpu gpu interactions,icse
5B68BCD4,aruba a risk utility based algorithm for data disclosure,vldb
05E21F7F,towards domain centric ontology development and maintenance frameworks,icse
7A1E5A22,inference rules for program annotation,icse
5F86B878,the structured information manager a database system for sgml documents,vldb
04CC85D4,increasing efficiency of iso 26262 verification and validation by combining fault injection and mutation testing with model based development,icse
7E7CD78C,using a distributed quadtree index in peer to peer networks,vldb
7FC9308F,tool integration in the pact environment,icse
79364D5C,adaptive robust control of a chinese medicine sugar precipitation process,icse
5E06D58B,control of an extensible query optimizer a planning based approach,vldb
763D607A,why did this code change,icse
80472212,lower delay and area efficient non restoring array divider by using shannon based adder technique,icse
78D9D468,teaching agile software development at university level values management and craftsmanship,icse
7C61455B,adversarial knowledge dimensions in data privacy,vldb
7C8BE95E,the optimization of radial line slot antenna,icse
767A0F55,measuring reliability of computation center software,icse
7EFA2E6F,confucius and its intelligent disciples integrating social with search,vldb
5DDAFEB2,database selection using actual physical and acquired logical collection resources in a massive domain specific operational environment,vldb
8162E2D3,exact cardinality query optimization for optimizer testing,vldb
5A840D89,using taxonomy discriminants and signatures for navigating in text databases,vldb
7558AA85,optimizer plan change management improved stability and performance in oracle 11g,vldb
81024B89,usability and expressiveness in database keyword search bridging the gap,vldb
7DC9875D,stimulation effect of fbgs en route four wave mixing constructions exploiting photonic crystal fibre presents,icse
81E8372E,machine learning approach for quality assessment and prediction in large software organizations,icse
593EB389,a cost model for clustered object oriented databases,vldb
759C439D,characteristics of the vulnerable code changes identified through peer code review,icse
79E4E7A9,improving feature location practice with multi faceted interactive exploration,icse
80416337,vehicle system development a challenge of ultra large scale systems,icse
7D96BAD7,an integrated approach to quality modelling,icse
80A3A84D,positive effects of utilizing relationships between inconsistencies for more effective inconsistency resolution nier track,icse
5F33C23F,ode as an active database constraints and triggers,vldb
80D8CA58,qmetric a metric tool suite for the evaluation of software process data,icse
83F0FA83,state based monitoring and goal driven project steering field study of the semat essence framework,icse
81924DE5,a new probable decision making approach for verification of probabilistic real time systems,icse
09FAF2AD,portals a new application program interface,vldb
8041C1AF,archis an xml based approach to transaction time temporal database systems,vldb
7FC5DC37,winbook a social networking based framework for collaborative requirements elicitation and winwin negotiations,icse
80E1BDEC,paqo a preference aware query optimizer for postgresql,vldb
5ED16322,the xps approach to loading and unloading terabyte databases,vldb
7EA8A2D0,an improved discrete particle swarm optimization algorithm for a single batch processing machine with non identical job sizes,icse
769F35E4,quble towards blending interactive visual subgraph search queries on large networks,vldb
80741DD5,a new method for estimating the number of distinct values over data streams,icse
751ACFB6,the making of tpc ds,vldb
812BEC27,when the project absolutely must get done marrying the organization chart with the precedence diagram,icse
76940120,deciphering the story of software development through frequent pattern mining,icse
811301CE,on the fly progress detection in iterative stream queries,vldb
7DA54088,balanced decision making in software engineering general thoughts and a concrete example from industry,icse
5FCC6F8F,temporal dimension for job submission description language,icse
8616DA0B,bf tree approximate tree indexing,vldb
7D31EED5,exploiting the diversity mass and speed of territorial data by telco operator for better user services,vldb
7631E474,infopuzzle exploring group decision making in mobile peer to peer databases,vldb
775AA489,an optimizable model for application of rollback restart recovery procedures for large data bases,vldb
7545BEE9,automotive software development for a multi core system on a chip,icse
7F961EE6,query rewrite for xml in oracle xml db,vldb
7A00344E,a new performance trade off measurement technique for evaluating image watermarking schemes,icse
590D6040,experiences in federated databases from iro db to miro web,vldb
79933444,watermarking relational data framework algorithms and analysis,vldb
7EF7EF70,a framework for evaluating specification methods for reactive systems,icse
7D221525,engineering self coordinating software intensive systems,icse
5D5059C2,poster static analysis of concurrent higher order programs,icse
7A1DDD70,system support for exploration and expert feedback in resolving conflicts during integration of metadata,vldb
7B211007,the icse2000 doctoral workshop,icse
7E00BAF6,effect of shallow trench isolation induced stress on cmos transistor mismatch,icse
5EC27DD2,translation and optimization of logic queries the algebraic approach,vldb
5A12A12A,performance of data parallel spatial operations,vldb
7B3C6C80,distributed catv inputs in ftth pon system,icse
75F8120B,tutorial introduction to the rational unified process sup spl reg,icse
5C3D9CA4,cooperative transaction hierarchies a transaction model to support design applications,vldb
586AD8F2,the functional dependency model for logical database design,vldb
6CC6709C,software process improvement experience in the dp mis function,icse
7D3C3A97,an empirical study of fault localization for end user programmers,icse
7EE6996E,five days of empirical software engineering the pased experience,icse
8156D918,using structural context to recommend source code examples,icse
5C67906C,the adabas buffer pool manager,vldb
7A52A882,uncovering the reality within virtual software teams,icse
7E6A46C6,leveraging p2p overlays for large scale and highly robust content distribution and search,vldb
5C9E8EAA,user interfaces for pictorial data bases,vldb
597AB27C,integrating implicit answers with object oriented queries,vldb
7E859315,incompleteness in information integration,vldb
727DC96A,data mining for imprecise temporal associations,icse
599BBCDC,a biological text retrieval system based on background knowledge and user feedback,vldb
56E8590B,stochastic modelling of seasonal migration using rewriting systems with spatiality,icse
7E9E6D27,a design framework for wireless manet qos gateway,icse
82011DF6,research on the influence of network condition to network covert timing channels,icse
80C142BE,automated statistics collection in db2 udb,vldb
5D8844F3,systematic development of data mining based data quality tools,vldb
78D44E26,design of electronic shelf label systems based on zigbee,icse
7EB26D85,query language based inverses of schema mappings semantics computation and closure properties,vldb
8114BF58,transaction timestamping in temporal databases,vldb
5FE0234D,reverse knn search in arbitrary dimensionality,vldb
5DF16F2B,hybrid transitive closure algorithms,vldb
7395D2E5,a unified approach to program and data conversion,vldb
58D4332B,a denotational definition of the semantics of drc a domain relational calculus,vldb
79FCFEDB,achieving high output quality under limited resources through structure based spilling in xml streams,vldb
5F2BDC91,towards a formal approach for object database design,vldb
48E4FA1B,execution and verification of uml state machines with erlang,icse
781A9AAD,introduction to corba tutorial session,icse
22651CC3,mobile technologies to enable users informed decisions,icse
758DBE23,teaching software processes to professionals the approach taken by an evening master s degree program,icse
7A9087AD,image super resolution representation via image patches based on extreme learning machine,icse
03521CF8,compliance monitoring for assisted living using mobile platforms,icse
587BD0E9,parameter free bursty events detection in text streams,vldb
04667B4F,health architecture based on soa and mobile agents,icse
7E6A34A5,vlsi design and analysis of low power 6t sram cell using cadence tool,icse
5BA5D4A4,ghost fine granularity buffering of indexes,vldb
7ECA3BA1,towards automated monitoring and forecasting of probabilistic quality properties in open source software oss a striking hybrid approach,icse
7D382B14,oracle database replay,vldb
667F9F7F,rox relational over xml,vldb
7FE2D47D,usage centered software engineering new models methods and metrics,icse
80703769,towards choreography model transformation via graph transformation,icse
7FA5DAA7,a genetic approach for random testing of database systems,vldb
5DCD6F37,towards an optimal data structure cb trees,vldb
7F860540,barriers to a collaborative multidisciplinary pedagogy,icse
7C0AFF52,bootstrapping mobile app development,icse
77AAFEA7,distance indexing on road networks,vldb
777B783A,holistic framework for establishing interoperability of heterogeneous software development tools and models,icse
8013D349,a role based qualification and certification program for software architects an experience report from siemens,icse
5EE41BEA,fine grained replication and scheduling with freshness and correctness guarantees,vldb
7B62FD61,study on author cooperation relationship based on data mining,icse
5DC584A7,adaptable recovery using dynamic quorum assignments,vldb
78F2DC31,exploiting evidence from unstructured data to enhance master data management,vldb
76130BFF,design and implementation of central heating data warehouse system,icse
7B477315,failure analysis of pitting problem on microchip al bondpads in wafer fabrication,icse
8099817B,refactoring does it improve software quality,icse
79ACB279,mining frequent itemsets over uncertain databases,vldb
7898DDD8,towards mediation based self healing of data driven business processes,icse
7E95D802,the approach of reverse model transformation based on operation in the auto generation of federate,icse
80971530,discovery of abnormal financial behavior in a dynamic finance environment with hierarchical self organizing mapping,icse
80970D39,revel8or model driven capacity planning tool suite,icse
79C59E53,energy aware self adaptation in mobile systems,icse
80CAF07B,eliminating dead code from xquery programs,icse
759F6688,a new service for customer care based on the trentorise bigdata platform,vldb
5B1BDA43,a dynamic hash file for random and sequential accessing,vldb
7A5F5FBC,a design of reconfigurable bus based on the embedded microprocessor simd core,icse
7581388C,a comparison of the use of links and secondary indices in a relational data base system,icse
7B991E76,challenges in economic massive content storage and management mcsam in the era of self organizing self expanding and self linking data clusters,vldb
7B4DFD62,reuseseem an approach to support the definition modeling and analysis of software ecosystems,icse
02ED7CF4,sensor data mining similarity search and pattern analysis,vldb
7628CB92,fast a second generation program analysis system,icse
7C13A007,efficient processing of exact top k queries over disk resident sorted lists,vldb
5979CEDA,supporting requirements engineering for medical products,icse
59D7EAE9,metrics for accessing heterogeneous data is there any hope panel,vldb
7EC3566A,identifying crosscutting concerns using historical code changes,icse
06AE94A7,the external schema and codasyl,vldb
090EF822,a new approach for adjusting braille image skewness in optical braille recognition,icse
0045486B,conceptual framework for formalizing multi agent systems,icse
77BDD872,the software engineering impacts of cultural factors on multi cultural software development teams,icse
67219701,ida an intelligent data access program,vldb
789091AE,generating efficient execution plans for vertically partitioned xml databases,vldb
80C219C1,cellsort high performance sorting on the cell processor,vldb
611B876F,the measurement and analysis of software change based on software repository,icse
7DE5D969,linear road a stream data management benchmark,vldb
0B67971A,proceedings of the 2006 international workshop on service oriented software engineering,icse
5DA8F133,disjoint interval topological sort a useful concept in serializability theory extended abstract,vldb
77DE9D8D,efficient multi way theta join processing using mapreduce,vldb
5CF7E360,oodb bulk loading revisited the partitioned list approach,vldb
81D823F1,an analysis and case study of using mobile crowdsourcing for weather forecast verification,icse
7DC67ECA,alphasort a cache sensitive parallel external sort,vldb
7B31CACE,revisiting co processing for hash joins on the coupled cpu gpu architecture,vldb
78B38B08,lithium battery swollen detection based on computer vision,icse
587556B0,consistency for web services applications,vldb
7A9489C5,team characteristics for maximizing the educational effectiveness of practical lectures on software intensive systems development,icse
7E371326,a scalable predictable join operator for highly concurrent data warehouses,vldb
7B5C3926,characterization of strained silicon mosfet using semiconductor tcad tools,icse
8143629E,ldiff an enhanced line differencing tool,icse
7F68AFEF,evaluation on the talent s ecological environmental competitiveness of shandong peninsula blue economic zone,icse
00BBFEF4,adaptive hash joins for a multiprogramming environment,vldb
80E09587,the o 2 database programming language,vldb
7ACFEFB9,preference elicitation in prioritized skyline queries,vldb
5A27328B,db2 common server technology progress directions,vldb
7EC7DCBD,big data and predictive analytics in erp systems for automating decision making process,icse
7C80B5A5,improving software inspections by using reading techniques tutorial session,icse
7EBEAF50,shortest path computation with no information leakage,vldb
5E06FC85,checking consistency of database constraints a logical basis,vldb
75DB859D,preserving mapping consistency under schema changes,vldb
7E0F217A,petri nets state space analysis in the cloud,icse
5C3B4F06,an analytic approach to statistical databases,vldb
81E5086A,a new polygon deformation algorithm based on flexible coordinate space,icse
81597147,tolkien an event based storytelling system,vldb
7DE38AE3,from software requirements to architectures,icse
7C4D6B18,modeling method of ontology web service interaction based on coloured petri net,icse
80CFB3C4,a framework of greedy methods for constructing interaction test suites,icse
76555CE9,semantic caching of web queries,vldb
7E8B5728,multidimensional content exploration,vldb
7E49C06B,lcs trim dynamic programming meets xml indexing and querying,vldb
7755C898,bandwidth constrained queries in sensor networks,vldb
85AAE38B,proceedings of the 1st international conference on very large data bases,vldb
7AA03EE9,towards a minimal performance metrics suite for agent based systems,icse
795E680F,assessing software libraries by browsing similar classes functions and relationships,icse
7D227584,softguess visualization and exploration of code clones in context,icse
5C5A096F,don t be lazy be consistent postgres r a new way to implement database replication,vldb
7DDF9D79,tighter estimation using bottom k sketches,vldb
8166F884,segmentation method of moving vehicles based on semi fuzzy cluster,icse
0AF5EE2B,developing model transformation tools using the uml metamodel challenges and solutions,icse
5BA7D72B,tabular placement of relational data on mems based storage devices,vldb
795F9686,designing an application development model for a large banking organization,icse
7FFAEE1A,wafer fabrication ion implant charging impact on gate oxide breakdown,icse
8233A84D,automated test data generation using search based software engineering,icse
7F8EBC4D,software economics a roadmap,icse
806BCE5D,acmestudio supporting style centered architecture development,icse
801865F1,transformation for class immutability,icse
817799F3,agile model driven development an intelligent compromise,icse
7BD56B6C,using robot soccer game to teach advanced computer science concepts,icse
7FF38FB2,software architecture recovery of a program family,icse
7D2148FD,definition and segmentation of orchestra companies,icse
07C55A3F,component integration for web based applications,icse
5D264B3A,an electronic slide rule,icse
785C8599,decision support for business related design of service level agreements,icse
7B752A59,a digital implementation for uwb impulse radio transceiver,icse
248F53B5,save ide a tool for design analysis andimplementation of component based embedded systems,icse
7FE62B94,interacting process classes,icse
81AFC2F2,lwcs a large scale web page classification system based on anchor graph hashing,icse
783690B5,solving coverage problem in wireless camera based sensor networks by using a distributed evolutionary algorithm,icse
7572967A,fourth international workshop on software engineering education iwsee 4,icse
79F511CA,a genetic algorithm for detecting significant floating point inaccuracies,icse
7FEB543B,relational approach for shortest path discovery over large graphs,vldb
81288728,uldbs databases with uncertainty and lineage,vldb
5D0C1AA8,querying a multilevel database a logical analysis,vldb
7C31FAC8,bof new directions in uk software engineering research,icse
7B8C0468,experience in teaching a software reengineering course,icse
785DDBEC,harvesting relational tables from lists on the web,vldb
7F3DE21E,an efficient architecture of 8 bit cmos analog to digital converter,icse
78484CC4,lahar demonstration warehousing markovian streams,vldb
551D8DCC,behavioural types inspired by cellular thresholds,icse
008D42A9,what does boyce codd normal form do,vldb
7E7BBBDF,deposition and etching of diaphragm and sacrificial layer in novel mems capacitive microphone structure,icse
7F732D83,resource scheduling in enhanced pay per view continuous media databases,vldb
5D2914EE,filtering with approximate predicates,vldb
0324826F,experience with global analysis a practical method for analyzing factors that influence software architectures,icse
7E274CB2,optimized query execution in large search engines with global page ordering,vldb
5833CA72,choosing a view update translator by dialog at view definition time,vldb
07B1BB68,the database data dictionary interface,vldb
7FC3A4AC,software intelligence the future of mining software engineering data,icse
7E00C8C8,the substrate doping density effect on submicron mosfet s characteristics,icse
7857E5C3,research and design of cloud architecture for smart home,icse
7DC14BD1,remote authentication of software based on machine s fingerprint,icse
815EF921,adaptive bug isolation,icse
76A4D16B,a variable iterative decoding scheme for various mappings based on bicm id,icse
7D9B3E0F,a tool for behaviour based discovery of approximately matching web services,icse
7FE46E67,uncertainty aware query execution time prediction,vldb
7C05AF93,efficient privacy preserving similar document detection,vldb
78E00433,an engineering methodology for presenting software functional architecture,icse
7D2BA429,an adaptive hybrid server architecture for client caching odbmss,vldb
7B7464DC,engineering scalable cache and space efficient tries for strings,vldb
7A62B03E,understanding individual contribution and collaboration in student software teams,icse
80E27B99,electric field breakdown mechanisms in high power epitaxial 4h sic p n junction diodes,icse
7F33C2F6,a spiral approach to software engineering project management education,icse
79C7B999,msr 2005 international workshop on mining software repositories,icse
834D5557,e store fine grained elastic partitioning for distributed transaction processing systems,vldb
7DF4CAAF,balancing collaboration and discipline in software development processes,icse
794D1404,tool interfaces in integrated project support environments,icse
7973D855,public deployment of cooperative bug isolation,icse
81E3B18C,the xoo7 benchmark,vldb
0BDB4152,lime ball quality inspection using a neural network and geometrical based decision criteria,icse
5BD00FBD,query processing techniques for compliance with data confidence policies,vldb
7A3C1264,towards model driven architecture and analysis of system of systems access control,icse
0A6E08EB,closed world assumption opened through null values,vldb
75C9D164,umple a model oriented programming language,icse
5B966E38,extracting large data sets using db2 parallel edition,vldb
65A29B02,repeating history beyond aries,vldb
7ABAB230,an approach to error resistant software design,icse
5CD57C80,temporal management of rfid data,vldb
00EB0CE7,quality model for the selection of floss based issue tracking system,icse
7EAA639D,anonymizing bipartite graph data using safe groupings,vldb
5EE79E78,finding intensional knowledge of distance based outliers,vldb
7BB269B5,preface by the editors in chief,vldb
59F52E24,nema fast graph search with label similarity,vldb
7A7CED2E,context sensitive access control for open mobile agent systems,icse
7847B2A0,cryptolysis a framework for verification of optimization heuristics for the automated cryptanalysis of classical ciphers and natural language word segmentation,icse
78967E6A,rapid requirements checks with requirements smells two case studies,icse
80E9BBA3,ecrins 86 an extended entity relationship data base management system and its semantic query language,vldb
0B8460B1,an introduction to the unified database language udl,vldb
789DBA33,pipeline transportation of solid materials intelligent monitoring systems design,icse
80C200D5,dimension optimization of a mems lc pressure sensor,icse
7E12ACE4,applying winwin to quality requirements a case study,icse
0474CFFC,e j object and fsle management n the exodus eztens ble database system,vldb
7DD87CC7,information survivability control systems,icse
7FEC1356,inferring better contracts,icse
7F8EC4C5,design and implementation of security protocol for home network,icse
6AA1EA94,improving software quality the use of formal inspections at the jet propulsion laboratory,icse
7D63F557,towards predicting query execution time for concurrent and dynamic database workloads,vldb
7F015C71,efficient computation of reverse skyline queries,vldb
